benchmark	Go	LLGoNoLTO	LLGoDeadcodeDrop	LLGoFullLTONoGlobalDCE	LLGoFullLTOGlobalDCE	LLGoFullLTOGlobalDCEPlugin
Aws_restjson	14635492	12886936	10562264	12514216	10631944	10631944
Dustin_humanize	4999034	4688400	3374880	4449360	3330624	3330624
Etcdctl	25896983	21699648	20445256	21150912	20834848	20834848
Gorm_schema	9421683	7043792	6443072	6793864	6632312	5338072
IXGo	41505755	29755664	29121864	29174040	29024968	29024968
K8s_workqueue	10681819	11319672	10623816	10991400	10924408	8963400
Toml	7324958	6160360	5041368	5901768	5023056	5023056
Uber_zap	10024992	11594040	9274984	11259976	9725888	9725888
XGo	18662581	17642584	15501232	17198368	16926456	16926456
