benchmark	Go	LLGoNoLTO	LLGoDeadcodeDrop	LLGoFullLTONoGlobalDCE	LLGoFullLTOGlobalDCE	LLGoFullLTOGlobalDCEPlugin
Aws_restjson	14635492	14210176	10522576	14108896	11916704	11916704
Dustin_humanize	4999034	5244328	3586976	5095152	3789272	3789272
Etcdctl	25896983	24553224	23259544	24235680	23640632	23640632
Gorm_schema	9421683	7776336	5238544	7661968	7400880	5998408
IXGo	41505755	30887584	30128984	30994296	30731160	30731160
K8s_workqueue	10681819	12401744	7587848	12336448	12176640	12176640
Toml	7324958	6791384	4879160	6653680	5611816	5611816
Uber_zap	10024992	12703536	8211560	12653936	10859096	10859096
XGo	18662581	19366152	17009152	19391760	18928304	18928304
