benchmark	Go	LLGoNoLTO	LLGoDeadcodeDrop	LLGoFullLTONoGlobalDCE	LLGoFullLTOGlobalDCE	LLGoFullLTOGlobalDCEPlugin
Aws_restjson	14635492	14250432	11730960	14151664	11957928	11957928
Dustin_humanize	4999034	5256296	3813432	5108696	3804184	3804184
Etcdctl	25896983	23954616	22659824	23983312	23388728	23388728
Gorm_schema	9421683	7811640	7137768	7698168	7436800	6030688
IXGo	41505755	32404152	31641880	32460184	32196232	32196232
K8s_workqueue	10681819	12447136	11675296	12382664	12222552	12222552
Toml	7324958	6821488	5605864	6685512	5643752	5643752
Uber_zap	10024992	12758152	10293736	12709856	10914432	10914432
XGo	18662581	19343784	16981856	19374032	18909976	18909976
