benchmark	Go	LLGoNoLTO	LLGoDeadcodeDrop	LLGoFullLTONoGlobalDCE	LLGoFullLTOGlobalDCE	LLGoFullLTOGlobalDCEPlugin
Aws_restjson	14635492	14202728	10521576	14101816	11910648	11910648
Dustin_humanize	4999034	5236888	3586048	5088128	3783248	3783248
Etcdctl	25896983	24550280	23256592	24232984	23637976	23637976
Gorm_schema	9421683	7768976	5237616	7654920	7393800	5992392
IXGo	41505755	30880096	30121512	30987312	30724120	30724120
K8s_workqueue	10681819	12394184	7586792	12329256	12169520	12169520
Toml	7324958	6783992	4878264	6646664	5604768	5604768
Uber_zap	10024992	12696104	8210608	12646856	10852000	10852000
XGo	18662581	19365168	17008152	19390992	18927504	18927504
