benchmark	Go	LLGoNoLTO	LLGoDeadcodeDrop	LLGoFullLTONoGlobalDCE	LLGoFullLTOGlobalDCE	LLGoFullLTOGlobalDCEPlugin
Aws_restjson	14635492	13488368	11195040	13119288	11257760	11257760
Dustin_humanize	4999034	4925624	3634440	4688992	3590744	3590744
Etcdctl	25896983	22755696	21523656	22211768	21896568	21896568
Gorm_schema	9421683	7420440	6832144	7172232	7012120	5750704
IXGo	41505755	31103432	30480096	30525064	30376664	30376664
K8s_workqueue	10681819	11836712	11158528	11510328	11445072	11445072
Toml	7324958	6461760	5363216	6207208	5343648	5343648
Uber_zap	10024992	12109336	9820688	11777096	10260776	10260776
XGo	18662581	18441896	16330728	18002048	17731440	17731440
