benchmark	Go	LLGoNoLTO	LLGoFullLTONoGlobalDCE	LLGoFullLTOGlobalDCE	LLGoFullLTOGlobalDCEPlugin
Aws_restjson	14639564	15190232	16488488	12656472	12656408
Dustin_humanize	4989852	5701416	5982744	4003760	4003760
Gorm_schema	9421659	8420784	8910992	7797808	6205176
K8s_workqueue	10168201	12606712	13673816	13074368	13074368
Toml	7213510	7236936	7656800	5848008	5848008
Uber_zap	8729830	13539400	14676704	10749048	10749048
