benchmark	Go	LLGoNoLTO	LLGoFullLTONoGlobalDCE	LLGoFullLTOGlobalDCE	LLGoFullLTOGlobalDCEPlugin
Aws_restjson	14639564	15189816	16481488	12651720	12651720
Dustin_humanize	4989852	5703688	5982872	4005032	4005032
Gorm_schema	9421659	8422592	8909648	7796504	6205816
IXGo	16593279	14829928	16059256	15604456	15604456
K8s_workqueue	10168201	12605984	13666008	13066400	13066400
Toml	7213510	7238696	7655224	5847992	5847992
Uber_zap	8729830	13538368	14668856	10745160	10745096
XGo	13792869	18940952	20554272	15799784	15799848
