benchmark	Go	LLGoNoLTO	LLGoFullLTONoGlobalDCE	LLGoFullLTOGlobalDCE	LLGoFullLTOGlobalDCEPlugin
Aws_restjson	14639564	15190688	16481344	12651576	12651576
Dustin_humanize	4989852	5704544	5982728	4004864	4004800
Etcdctl	25896983	27198504	29726216	25907392	25907392
Gorm_schema	9421659	8423488	8909488	7796272	6205656
IXGo	41390530	33297648	36755448	35611664	35611664
K8s_workqueue	10168201	12606752	13665848	13066256	13066256
Toml	7213510	7239616	7655056	5847848	5847848
Uber_zap	8729830	13539216	14668712	10745000	10745000
XGo	18662549	21196704	23095088	20267008	20267008
