benchmark	Go	LLGoNoLTO	LLGoDeadcodeDrop	LLGoFullLTONoGlobalDCE	LLGoFullLTOGlobalDCE	LLGoFullLTOGlobalDCEPlugin
Aws_restjson	14639564	13859192	10246184	15157776	12648912	12648912
Dustin_humanize	4989852	5206640	3547120	5492704	4001736	4001736
Etcdctl	25896983	23889200	22590848	26445536	25723704	25723704
Gorm_schema	9421659	7661064	5174616	8158936	7874960	6289216
IXGo	41390963	30775624	29971672	34212160	33844728	33844728
K8s_workqueue	10168201	11473440	7125192	12541384	12314928	12314928
Toml	7213510	6586136	4695152	7014024	5843496	5843496
Uber_zap	8729830	12327624	7812336	13463024	10703760	10703760
XGo	18662549	18963512	16623472	20869448	20291104	20291104
