benchmark	Go	LLGoNoLTO	LLGoDeadcodeDrop	LLGoFullLTONoGlobalDCE	LLGoFullLTOGlobalDCE	LLGoFullLTOGlobalDCEPlugin
Aws_restjson	14639564	14135576	10483800	13938360	11754712	11754712
Dustin_humanize	4989852	5321232	3616768	5112040	3781704	3781704
Etcdctl	25896983	24409048	23126504	24098376	23477128	23477128
Gorm_schema	9421659	7952160	5332536	7778440	7515488	6075440
IXGo	41390963	30797264	30003544	30901864	30601320	30601320
K8s_workqueue	10168201	11693504	7292616	11528936	11348760	11348760
Toml	7213510	6744008	4823056	6548296	5526816	5526816
Uber_zap	8729830	12587320	8019600	12440464	10035688	10035688
XGo	18662549	19197088	16877824	19141968	18655512	18655512
