benchmark	Go	LLGoNoLTO	LLGoFullLTONoGlobalDCE	LLGoFullLTOGlobalDCE	LLGoFullLTOGlobalDCEPlugin
Aws_restjson	14639564	15187768	16485856	12653776	12653776
Dustin_humanize	4989852	5698872	5980048	4001064	4001000
Gorm_schema	9421659	8418296	8908296	7795160	6202480
K8s_workqueue	10168201	12604232	13671120	13071672	13071672
Toml	7213510	7234504	7654104	5845312	5845312
Uber_zap	8729830	13536920	14673944	10746280	10746344
