benchmark	Go	LLGoNoLTO	LLGoDeadcodeDrop	LLGoFullLTONoGlobalDCE	LLGoFullLTOGlobalDCE	LLGoFullLTOGlobalDCEPlugin
Aws_restjson	14635492	12886800	10560848	12514872	10631816	10631816
Dustin_humanize	4999034	4685704	3371944	4447312	3328616	3328632
Etcdctl	25896983	21702656	20447448	21154816	20838752	20838752
Gorm_schema	9421683	7041416	6440696	6792192	6630752	5336304
IXGo	41505755	29756712	29123008	29176040	29027168	29027168
K8s_workqueue	10681819	11319632	10623792	10992184	10925336	10925336
Toml	7324958	6157688	5038304	5899912	5021008	5021008
Uber_zap	10024992	11593544	9272560	11260336	9724968	9724968
XGo	18662581	17642008	15499568	17198480	16926712	16926728
