benchmark	Go	LLGoNoLTO	LLGoFullLTONoGlobalDCE	LLGoFullLTOGlobalDCE	LLGoFullLTOGlobalDCEPlugin
Aws_restjson	14639564	15190160	16488552	12656472	12656472
Dustin_humanize	4989852	5701416	5982744	4003760	4003760
Gorm_schema	9421659	8420776	8910992	7797872	6205176
K8s_workqueue	10168201	12606712	13673816	13074368	13074304
Toml	7213510	7237000	7656800	5847944	5848008
Uber_zap	8729830	13539464	14676640	10749048	10749048
