benchmark	Go	LLGoNoLTO	LLGoDeadcodeDrop	LLGoFullLTONoGlobalDCE	LLGoFullLTOGlobalDCE	LLGoFullLTOGlobalDCEPlugin
Aws_restjson	14639564	14128624	10452896	15432272	12882384	12882384
Dustin_humanize	4989852	5313568	3607848	5602456	4063752	4063752
Etcdctl	25896983	24476848	23179720	27008264	26301960	26301960
Gorm_schema	9421659	7954776	5329728	8457608	8163552	6510320
IXGo	41390963	31120848	30311680	34564792	34194512	34194512
K8s_workqueue	10168201	11676920	7253136	12744864	12506072	12506072
Toml	7213510	6720640	4819416	7151432	5970576	5970576
Uber_zap	8729830	12575176	7983632	13723968	10920704	10920704
XGo	18662549	19233384	16882264	21144000	20554832	20554832
