benchmark	Go	LLGoNoLTO	LLGoDeadcodeDrop	LLGoFullLTONoGlobalDCE	LLGoFullLTOGlobalDCE	LLGoFullLTOGlobalDCEPlugin
Aws_restjson	14639564	14208880	10503680	15536792	12952752	12952752
Dustin_humanize	4989852	5338560	3618152	5633696	4077608	4077608
Etcdctl	25896983	24612296	23303264	27210320	26443208	26443208
Gorm_schema	9421659	7991808	5340968	8509104	8204016	6531864
IXGo	41390963	31195336	30380712	34674312	34306800	34306800
K8s_workqueue	10168201	11751592	7297320	12840664	12597880	12597880
Toml	7213510	6778328	4831544	7218392	5998080	5998080
Uber_zap	8729830	12650696	8029048	13821448	10980968	10980968
XGo	18662549	19332176	16963352	21261584	20664896	20664896
