benchmark	Go	LLGoNoLTO	LLGoDeadcodeDrop	LLGoFullLTONoGlobalDCE	LLGoFullLTOGlobalDCE	LLGoFullLTOGlobalDCEPlugin
Aws_restjson	14635492	12890672	10563376	12518704	10634256	10634256
Dustin_humanize	4999034	4689544	3374472	4451040	3331040	3331040
Etcdctl	25896983	21706472	20449984	21158584	20842480	20842480
Gorm_schema	9421683	7045328	6443208	6795992	6634544	5338664
IXGo	41505755	29760528	29125512	29179888	29030864	29030864
K8s_workqueue	10681819	11323496	10626368	10996016	10929096	10929096
Toml	7324958	6161528	5040832	5903736	5023480	5023480
Uber_zap	10024992	11597448	9275096	11264064	9727400	9727400
XGo	18662581	17645848	15502088	17202304	16930488	16930488
