benchmark	Go	LLGoNoLTO	LLGoFullLTONoGlobalDCE	LLGoFullLTOGlobalDCE	LLGoFullLTOGlobalDCEPlugin
Aws_restjson	14639564	15189752	16481424	12651656	12651656
Dustin_humanize	4989852	5703704	5982888	4005032	4005032
Gorm_schema	9421659	8422656	8909584	7796504	6205752
K8s_workqueue	10168201	12606504	13666544	13066872	13066936
Toml	7213510	7238680	7655144	5847864	5847928
Uber_zap	8729830	13538904	14669480	10745784	10745720
