benchmark	Go	LLGoNoLTO	LLGoDeadcodeDrop	LLGoFullLTONoGlobalDCE	LLGoFullLTOGlobalDCE	LLGoFullLTOGlobalDCEPlugin
Aws_restjson	14635492	12877400	10555032	12504280	10622496	10622376
Dustin_humanize	4999034	4678824	3368456	4439344	3322136	3322192
Etcdctl	25896983	21691144	20438352	21141952	20825608	20825688
Gorm_schema	9421683	7034752	6435944	6784520	6622568	5329440
IXGo	41505755	29747288	29115072	29165024	29015528	29015736
K8s_workqueue	10681819	11313144	10618648	10984408	10916952	8956376
Toml	7324958	6150768	5033672	5891752	5014520	5014568
Uber_zap	10024992	11584544	9267080	11250008	9717192	9717200
XGo	18662581	17632064	15492592	17187880	16915560	16915656
