benchmark	Go	LLGoNoLTO	LLGoDeadcodeDrop	LLGoFullLTONoGlobalDCE	LLGoFullLTOGlobalDCE	LLGoFullLTOGlobalDCEPlugin
Aws_restjson	14639564	14133784	10482520	13938224	11754016	11754016
Dustin_humanize	4989852	5319768	3615816	5111840	3781040	3781040
Etcdctl	25896983	24407312	23124712	24097584	23476464	23476464
Gorm_schema	9421659	7950616	5331472	7778064	7515200	6074808
IXGo	41390963	30795184	30001488	30901672	30601088	30601088
K8s_workqueue	10168201	11691760	7291520	11528328	11348120	11348120
Toml	7213510	6742456	4821960	6548024	5526360	5526360
Uber_zap	8729830	12585632	8018392	12439864	10034800	10034800
XGo	18662549	19195336	16876328	19141608	18655128	18655128
