benchmark	Go	LLGoNoLTO	LLGoFullLTONoGlobalDCE	LLGoFullLTOGlobalDCE	LLGoFullLTOGlobalDCEPlugin
Aws_restjson	14639564	15190680	16481344	12651576	12651576
Dustin_humanize	4989852	5704544	5982728	4004864	4004864
Etcdctl	25896983	27198504	29726216	25907392	25907392
Gorm_schema	9421659	8423424	8909488	7796336	6205592
IXGo	41390530	33297640	36755512	35611664	35611664
K8s_workqueue	10168201	12606816	13665848	13066192	13066256
Toml	7213510	7239608	7654992	5847848	5847848
Uber_zap	8729830	13539216	14668712	10745000	10744936
XGo	18662549	21196768	23095088	20267008	20267008
