benchmark	Go	LLGoNoLTO	LLGoFullLTONoGlobalDCE	LLGoFullLTOGlobalDCE	LLGoFullLTOGlobalDCEPlugin
Aws_restjson	14639564	14952888	16251168	12419072	12419072
Dustin_humanize	4989852	5585512	5866768	3887848	3887848
Gorm_schema	9421659	8268632	8758808	7645672	6052976
K8s_workqueue	10168201	12398360	13465392	12865944	12865880
Toml	7213510	7096504	7516216	5707408	5707408
Uber_zap	8729830	13309448	14446584	10518856	10518920
