benchmark	Go	LLGoNoLTO	LLGoDeadcodeDrop	LLGoFullLTONoGlobalDCE	LLGoFullLTOGlobalDCE	LLGoFullLTOGlobalDCEPlugin
Aws_restjson	14639564	14133184	10457480	15437368	12887464	12887464
Dustin_humanize	4989852	5317696	3612072	5606880	4068184	4068184
Etcdctl	25896983	24491944	23194848	27022168	26315880	26315880
Gorm_schema	9421659	7958848	5333848	8462008	8167936	6514704
IXGo	41390963	31126432	30317296	34571024	34200744	34200744
K8s_workqueue	10168201	11681280	7257536	12749768	12510960	12510960
Toml	7213510	6724856	4823752	7156152	5975312	5975312
Uber_zap	8729830	12579624	7988112	13728920	10925632	10925632
XGo	18662549	19248544	16897472	21157928	20568776	20568776
